query_id,query_hash,num_permanent_tables_accessed,read_table_ids,num_joins,mbytes_scanned,execution_duration_ms,rows_returned,status,error_msg
10a.sql,eb0b0a93,7,"1,5,7,8,12,18,21",6,302.432,951.84,1,ok,
10b.sql,3c53ed8d,7,"1,5,7,8,12,18,21",6,302.432,384.52,1,ok,
10c.sql,78a61b9f,7,"1,5,7,8,12,18,21",6,302.432,3626.0,1,ok,
11a.sql,766ea53f,8,"3,7,8,12,14,15,17,21",7,68.328,129.0,1,ok,
11b.sql,5b9d12db,8,"3,7,8,12,14,15,17,21",7,68.328,65.44,1,ok,
11c.sql,348c481b,8,"3,7,8,12,14,15,17,21",7,68.328,560.79,1,ok,
11d.sql,2716323c,8,"3,7,8,12,14,15,17,21",7,68.328,1739.85,1,ok,
12a.sql,99f662e1,7,"2,7,8,9,12,16,21",7,361.318,326.91,1,ok,
12b.sql,7537d82e,7,"2,7,8,9,12,16,21",7,361.318,689.06,1,ok,
12c.sql,5513caec,7,"2,7,8,9,12,16,21",7,361.318,368.87,1,ok,
13a.sql,83d370e0,8,"2,7,8,9,12,16,19,21",8,361.318,334.45,1,ok,
13b.sql,58c0c873,8,"2,7,8,9,12,16,19,21",8,361.318,546.26,1,ok,
13c.sql,ef2a4338,8,"2,7,8,9,12,16,19,21",8,361.318,336.72,1,ok,
13d.sql,e9f11c44,8,"2,7,8,9,12,16,19,21",8,361.318,439.62,1,ok,
14a.sql,69fdba0a,7,"2,3,8,9,14,16,19",7,352.74,260.43,1,ok,
14b.sql,c68a8f1a,7,"2,3,8,9,14,16,19",7,352.74,165.01,1,ok,
14c.sql,b83f197f,7,"2,3,8,9,14,16,19",7,352.74,386.38,1,ok,
15a.sql,f693f8a8,9,"2,3,7,8,11,12,14,16,21",8,370.345,5.06,,error,"Parser Error: syntax error at or near ""at""

LINE 3: FROM aka_title AS at,
                          ^"
15b.sql,4c97a2ac,9,"2,3,7,8,11,12,14,16,21",8,370.345,0.46,,error,"Parser Error: syntax error at or near ""at""

LINE 3: FROM aka_title AS at,
                          ^"
15c.sql,63d8d641,9,"2,3,7,8,11,12,14,16,21",8,370.345,0.39,,error,"Parser Error: syntax error at or near ""at""

LINE 3: FROM aka_title AS at,
                          ^"
15d.sql,8c68dcca,9,"2,3,7,8,11,12,14,16,21",8,370.345,0.3,,error,"Parser Error: syntax error at or near "".""

LINE 1: SELECT MIN(at.title) AS aka_title,
                     ^"
16a.sql,5489c672,8,"1,3,4,7,8,10,12,14",7,342.332,386.35,1,ok,
16b.sql,86632023,8,"1,3,4,7,8,10,12,14",7,342.332,4210.22,1,ok,
16c.sql,ce573ba0,8,"1,3,4,7,8,10,12,14",7,342.332,1119.75,1,ok,
16d.sql,45d188c3,8,"1,3,4,7,8,10,12,14",7,342.332,822.71,1,ok,
17a.sql,084ad1c2,7,"1,3,4,7,8,12,14",6,331.516,1878.87,1,ok,
17b.sql,64d9d260,7,"1,3,4,7,8,12,14",6,331.516,3880.23,1,ok,
17c.sql,56013e31,7,"1,3,4,7,8,12,14",6,331.516,4117.44,1,ok,
17d.sql,a9ffa97f,7,"1,3,4,7,8,12,14",6,331.516,2385.84,1,ok,
17e.sql,6825a8ca,7,"1,3,4,7,8,12,14",6,331.516,1982.1,1,ok,
17f.sql,407dd45c,7,"1,3,4,7,8,12,14",6,331.516,3976.64,1,ok,
18a.sql,165642a1,6,"1,2,4,8,9,16",6,601.403,2027.27,1,ok,
18b.sql,daf4a211,6,"1,2,4,8,9,16",6,601.403,1619.12,1,ok,
18c.sql,90d787b4,6,"1,2,4,8,9,16",6,601.403,3187.07,1,ok,
19a.sql,84ecdb98,10,"1,2,4,5,7,8,10,12,16,18",9,655.805,1744.87,1,ok,
