query_file,tables_match_exact,jaccard_similarity,W_tables,Wprime_tables,only_in_W,only_in_Wprime,W_n_tables,Wprime_n_tables,W_join_count,gen_status
10a.sql,False,0.273,cast_info|char_name|company_name|company_type|movie_companies|role_type|title,aka_title|cast_info|char_name|kind_type|movie_info|movie_link|title,company_name|company_type|movie_companies|role_type,aka_title|kind_type|movie_info|movie_link,7,7,6,ok
10b.sql,False,0.4,cast_info|char_name|company_name|company_type|movie_companies|role_type|title,aka_name|cast_info|char_name|name|person_info|role_type|title,company_name|company_type|movie_companies,aka_name|name|person_info,7,7,6,ok
10c.sql,False,0.556,cast_info|char_name|company_name|company_type|movie_companies|role_type|title,aka_name|cast_info|char_name|movie_companies|name|role_type|title,company_name|company_type,aka_name|name,7,7,6,ok
11a.sql,False,0.6,company_name|company_type|keyword|link_type|movie_companies|movie_keyword|movie_link|title,aka_title|company_name|company_type|kind_type|movie_companies|movie_keyword|movie_link|title,keyword|link_type,aka_title|kind_type,8,8,7,ok
11b.sql,False,0.455,company_name|company_type|keyword|link_type|movie_companies|movie_keyword|movie_link|title,aka_title|company_name|kind_type|movie_companies|movie_info_idx|movie_keyword|movie_link|title,company_type|keyword|link_type,aka_title|kind_type|movie_info_idx,8,8,7,ok
11c.sql,False,0.455,company_name|company_type|keyword|link_type|movie_companies|movie_keyword|movie_link|title,aka_title|cast_info|company_name|movie_companies|movie_info|movie_keyword|movie_link|title,company_type|keyword|link_type,aka_title|cast_info|movie_info,8,8,7,ok
11d.sql,False,0.333,company_name|company_type|keyword|link_type|movie_companies|movie_keyword|movie_link|title,cast_info|company_name|company_type|info_type|kind_type|movie_companies|movie_info_idx|title,keyword|link_type|movie_keyword|movie_link,cast_info|info_type|kind_type|movie_info_idx,8,8,7,ok
12a.sql,False,0.667,company_name|company_type|info_type|movie_companies|movie_info|movie_info_idx|title,aka_title|company_name|info_type|kind_type|movie_companies|movie_info|movie_info_idx|title,company_type,aka_title|kind_type,7,8,7,ok
12b.sql,False,0.5,company_name|company_type|info_type|movie_companies|movie_info|movie_info_idx|title,aka_title|company_name|company_type|complete_cast|kind_type|movie_companies|movie_info|title,info_type|movie_info_idx,aka_title|complete_cast|kind_type,7,8,7,ok
12c.sql,False,0.5,company_name|company_type|info_type|movie_companies|movie_info|movie_info_idx|title,company_name|company_type|complete_cast|kind_type|movie_companies|movie_info_idx|movie_link|title,info_type|movie_info,complete_cast|kind_type|movie_link,7,8,7,ok
13a.sql,False,0.417,company_name|company_type|info_type|kind_type|movie_companies|movie_info|movie_info_idx|title,cast_info|company_name|complete_cast|keyword|kind_type|movie_companies|movie_info|movie_keyword|title,company_type|info_type|movie_info_idx,cast_info|complete_cast|keyword|movie_keyword,8,9,8,ok
13b.sql,False,0.7,company_name|company_type|info_type|kind_type|movie_companies|movie_info|movie_info_idx|title,aka_title|cast_info|company_name|company_type|kind_type|movie_companies|movie_info|movie_info_idx|title,info_type,aka_title|cast_info,8,9,8,ok
13c.sql,False,0.545,company_name|company_type|info_type|kind_type|movie_companies|movie_info|movie_info_idx|title,cast_info|company_name|company_type|complete_cast|kind_type|movie_companies|movie_info|movie_link|title,info_type|movie_info_idx,cast_info|complete_cast|movie_link,8,9,8,ok
13d.sql,False,0.545,company_name|company_type|info_type|kind_type|movie_companies|movie_info|movie_info_idx|title,company_name|company_type|complete_cast|kind_type|link_type|movie_companies|movie_info_idx|movie_link|title,info_type|movie_info,complete_cast|link_type|movie_link,8,9,8,ok
14a.sql,False,0.5,info_type|keyword|kind_type|movie_info|movie_info_idx|movie_keyword|title,complete_cast|info_type|movie_info|movie_info_idx|movie_keyword|name|person_info|title,keyword|kind_type,complete_cast|name|person_info,7,8,7,ok
14b.sql,False,0.364,info_type|keyword|kind_type|movie_info|movie_info_idx|movie_keyword|title,aka_title|cast_info|complete_cast|info_type|movie_info|movie_info_idx|movie_link|title,keyword|kind_type|movie_keyword,aka_title|cast_info|complete_cast|movie_link,7,8,7,ok
14c.sql,False,0.25,info_type|keyword|kind_type|movie_info|movie_info_idx|movie_keyword|title,cast_info|char_name|info_type|movie_info|movie_link|name|person_info|title,keyword|kind_type|movie_info_idx|movie_keyword,cast_info|char_name|movie_link|name|person_info,7,8,7,ok
15a.sql,False,0.5,aka_title|company_name|company_type|info_type|keyword|movie_companies|movie_info|movie_keyword|title,aka_title|company_name|company_type|complete_cast|kind_type|movie_companies|movie_keyword|movie_link|title,info_type|keyword|movie_info,complete_cast|kind_type|movie_link,9,9,8,ok
15b.sql,False,0.286,aka_title|company_name|company_type|info_type|keyword|movie_companies|movie_info|movie_keyword|title,aka_title|cast_info|comp_cast_type|complete_cast|info_type|kind_type|movie_info|movie_info_idx|title,company_name|company_type|keyword|movie_companies|movie_keyword,cast_info|comp_cast_type|complete_cast|kind_type|movie_info_idx,9,9,8,ok
15c.sql,False,0.385,aka_title|company_name|company_type|info_type|keyword|movie_companies|movie_info|movie_keyword|title,aka_title|cast_info|char_name|comp_cast_type|company_name|complete_cast|movie_companies|movie_keyword|title,company_type|info_type|keyword|movie_info,cast_info|char_name|comp_cast_type|complete_cast,9,9,8,ok
15d.sql,False,0.385,aka_title|company_name|company_type|info_type|keyword|movie_companies|movie_info|movie_keyword|title,aka_title|cast_info|info_type|kind_type|movie_info|movie_info_idx|movie_keyword|name|title,company_name|company_type|keyword|movie_companies,cast_info|kind_type|movie_info_idx|name,9,9,8,ok
16a.sql,False,0.333,aka_name|cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,aka_name|cast_info|complete_cast|info_type|movie_info_idx|name|person_info|title,company_name|keyword|movie_companies|movie_keyword,complete_cast|info_type|movie_info_idx|person_info,8,8,7,ok
16b.sql,False,0.333,aka_name|cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,aka_name|aka_title|cast_info|movie_info|name|person_info|role_type|title,company_name|keyword|movie_companies|movie_keyword,aka_title|movie_info|person_info|role_type,8,8,7,ok
16c.sql,False,0.455,aka_name|cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,aka_name|cast_info|movie_info|movie_keyword|movie_link|name|person_info|title,company_name|keyword|movie_companies,movie_info|movie_link|person_info,8,8,7,ok
16d.sql,False,0.333,aka_name|cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,aka_name|aka_title|cast_info|info_type|movie_link|name|person_info|title,company_name|keyword|movie_companies|movie_keyword,aka_title|info_type|movie_link|person_info,8,8,7,ok
17a.sql,False,0.273,cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,aka_title|cast_info|char_name|complete_cast|movie_info_idx|movie_keyword|title,company_name|keyword|movie_companies|name,aka_title|char_name|complete_cast|movie_info_idx,7,7,6,ok
17b.sql,False,0.556,cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,aka_title|cast_info|movie_companies|movie_keyword|name|role_type|title,company_name|keyword,aka_title|role_type,7,7,6,ok
17c.sql,False,0.273,cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,cast_info|char_name|movie_link|name|person_info|role_type|title,company_name|keyword|movie_companies|movie_keyword,char_name|movie_link|person_info|role_type,7,7,6,ok
17d.sql,False,0.4,cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,aka_title|cast_info|char_name|movie_keyword|name|role_type|title,company_name|keyword|movie_companies,aka_title|char_name|role_type,7,7,6,ok
17e.sql,False,0.4,cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,cast_info|char_name|movie_companies|movie_info_idx|movie_link|name|title,company_name|keyword|movie_keyword,char_name|movie_info_idx|movie_link,7,7,6,ok
17f.sql,False,0.273,cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,cast_info|char_name|info_type|name|person_info|role_type|title,company_name|keyword|movie_companies|movie_keyword,char_name|info_type|person_info|role_type,7,7,6,ok
18a.sql,False,0.182,cast_info|info_type|movie_info|movie_info_idx|name|title,cast_info|complete_cast|kind_type|movie_keyword|movie_link|role_type|title,info_type|movie_info|movie_info_idx|name,complete_cast|kind_type|movie_keyword|movie_link|role_type,6,7,6,ok
18b.sql,False,0.444,cast_info|info_type|movie_info|movie_info_idx|name|title,cast_info|char_name|info_type|movie_info|name|person_info|role_type,movie_info_idx|title,char_name|person_info|role_type,6,7,6,ok
18c.sql,False,0.3,cast_info|info_type|movie_info|movie_info_idx|name|title,aka_name|cast_info|char_name|kind_type|name|role_type|title,info_type|movie_info|movie_info_idx,aka_name|char_name|kind_type|role_type,6,7,6,ok
19a.sql,False,0.538,aka_name|cast_info|char_name|company_name|info_type|movie_companies|movie_info|name|role_type|title,aka_name|cast_info|char_name|complete_cast|info_type|movie_info|movie_link|name|person_info|title,company_name|movie_companies|role_type,complete_cast|movie_link|person_info,10,10,9,ok
19b.sql,False,0.333,aka_name|cast_info|char_name|company_name|info_type|movie_companies|movie_info|name|role_type|title,aka_name|aka_title|cast_info|comp_cast_type|complete_cast|kind_type|movie_info|name|person_info|title,char_name|company_name|info_type|movie_companies|role_type,aka_title|comp_cast_type|complete_cast|kind_type|person_info,10,10,9,ok
19c.sql,False,0.429,aka_name|cast_info|char_name|company_name|info_type|movie_companies|movie_info|name|role_type|title,aka_name|cast_info|char_name|comp_cast_type|complete_cast|kind_type|movie_info|name|person_info|title,company_name|info_type|movie_companies|role_type,comp_cast_type|complete_cast|kind_type|person_info,10,10,9,ok
19d.sql,False,0.429,aka_name|cast_info|char_name|company_name|info_type|movie_companies|movie_info|name|role_type|title,aka_name|aka_title|cast_info|char_name|complete_cast|movie_info_idx|movie_keyword|name|role_type|title,company_name|info_type|movie_companies|movie_info,aka_title|complete_cast|movie_info_idx|movie_keyword,10,10,9,ok
1a.sql,False,0.429,company_type|info_type|movie_companies|movie_info_idx|title,company_name|company_type|movie_companies|movie_keyword|title,info_type|movie_info_idx,company_name|movie_keyword,5,5,4,ok
