query_file,source_join_count,source_bytes_read,relative_selectivity,target_tables,n_tables,query_hash,gen_status,sql
q01.sql,0,108021870,0.1,lineitem,1,bdc6a8cc,ok,"SELECT MIN(l0.l_quantity) AS result
FROM lineitem AS l0
WHERE l0.l_quantity >= 26 AND l0.l_quantity <= 36"
q02.sql,4,12350145,0.1,partsupp|part|lineitem|supplier|orders,5,e63148b9,error,"SELECT MIN(p0.l_quantity) AS result
FROM partsupp AS p0
JOIN part AS p1 ON p1.p_partkey = p0.ps_partkey
JOIN supplier AS s3 ON s3.s_suppkey = p0.ps_suppkey
JOIN lineitem AS l2 ON l2.l_partkey = p1.p_partkey
JOIN orders AS o4 ON o4.o_orderkey = l2.l_orderkey
WHERE p0.ps_availqty >= 5003 AND p0.ps_availqty <= 6004
AND p1.p_size >= 35 AND p1.p_size <= 40
AND s3.s_nationkey >= 1 AND s3.s_nationkey <= 4"
q03.sql,2,127221870,0.1,lineitem|orders|customer,3,347038df,ok,"SELECT MIN(l0.l_quantity) AS result
FROM lineitem AS l0
JOIN orders AS o1 ON o1.o_orderkey = l0.l_orderkey
JOIN customer AS c2 ON c2.c_custkey = o1.o_custkey
WHERE l0.l_quantity >= 6 AND l0.l_quantity <= 16
AND o1.o_orderstatus = 'F'
AND c2.c_mktsegment = 'HOUSEHOLD'"
q04.sql,0,16500000,0.1,orders,1,dc86ea11,ok,"SELECT MIN(o0.o_orderstatus) AS result
FROM orders AS o0
WHERE o0.o_orderstatus = 'F'"
q05.sql,5,127372015,0.1,lineitem|orders|customer|nation|supplier|partsupp,6,aceaf3c9,ok,"SELECT MIN(l0.l_quantity) AS result
FROM lineitem AS l0
JOIN orders AS o1 ON o1.o_orderkey = l0.l_orderkey
JOIN supplier AS s4 ON s4.s_suppkey = l0.l_suppkey
JOIN customer AS c2 ON c2.c_custkey = o1.o_custkey
JOIN partsupp AS p5 ON p5.ps_suppkey = s4.s_suppkey
JOIN nation AS n3 ON n3.n_nationkey = s4.s_nationkey
WHERE l0.l_quantity >= 16 AND l0.l_quantity <= 26
AND o1.o_orderstatus = 'F'
AND s4.s_nationkey >= 12 AND s4.s_nationkey <= 17"
q06.sql,0,108021870,0.1,lineitem,1,70abb366,ok,"SELECT MIN(l0.l_quantity) AS result
FROM lineitem AS l0
WHERE l0.l_quantity >= 16 AND l0.l_quantity <= 26"
q07.sql,8,127245995,0.1,lineitem|orders|customer|nation|region|supplier|partsupp|part,8,bf2f5195,ok,"SELECT MIN(l0.l_quantity) AS result
FROM lineitem AS l0
JOIN orders AS o1 ON o1.o_orderkey = l0.l_orderkey
JOIN part AS p7 ON p7.p_partkey = l0.l_partkey
JOIN supplier AS s5 ON s5.s_suppkey = l0.l_suppkey
JOIN customer AS c2 ON c2.c_custkey = o1.o_custkey
JOIN partsupp AS p6 ON p6.ps_partkey = p7.p_partkey
JOIN nation AS n3 ON n3.n_nationkey = s5.s_nationkey
JOIN region AS r4 ON r4.r_regionkey = n3.n_regionkey
WHERE l0.l_quantity >= 36 AND l0.l_quantity <= 45
AND o1.o_orderstatus = 'F'
AND p7.p_size >= 15 AND p7.p_size <= 25"
q08.sql,9,127388015,0.1,lineitem|supplier|orders|customer|nation|region|part|partsupp,8,8a308cfb,ok,"SELECT MIN(l0.l_quantity) AS result
FROM lineitem AS l0
JOIN orders AS o2 ON o2.o_orderkey = l0.l_orderkey
JOIN part AS p6 ON p6.p_partkey = l0.l_partkey
JOIN supplier AS s1 ON s1.s_suppkey = l0.l_suppkey
JOIN customer AS c3 ON c3.c_custkey = o2.o_custkey
JOIN partsupp AS p7 ON p7.ps_partkey = p6.p_partkey
JOIN nation AS n4 ON n4.n_nationkey = s1.s_nationkey
JOIN region AS r5 ON r5.r_regionkey = n4.n_regionkey
WHERE l0.l_quantity >= 26 AND l0.l_quantity <= 31
AND o2.o_orderstatus = 'F'
AND p6.p_size >= 3 AND p6.p_size <= 10"
q09.sql,7,134287995,0.1,lineitem|part|orders|partsupp|supplier|nation|customer|region,8,dfe5eb36,ok,"SELECT MIN(l0.l_quantity) AS result
FROM lineitem AS l0
JOIN orders AS o2 ON o2.o_orderkey = l0.l_orderkey
JOIN part AS p1 ON p1.p_partkey = l0.l_partkey
JOIN supplier AS s4 ON s4.s_suppkey = l0.l_suppkey
JOIN customer AS c6 ON c6.c_custkey = o2.o_custkey
JOIN partsupp AS p3 ON p3.ps_partkey = p1.p_partkey
JOIN nation AS n5 ON n5.n_nationkey = s4.s_nationkey
JOIN region AS r7 ON r7.r_regionkey = n5.n_regionkey
WHERE l0.l_quantity >= 11 AND l0.l_quantity <= 21
AND o2.o_orderstatus = 'F'
AND p1.p_size >= 3 AND p1.p_size <= 10"
q10.sql,3,127221995,0.1,lineitem|orders|part|supplier,4,2318475d,ok,"SELECT MIN(l0.l_quantity) AS result
FROM lineitem AS l0
JOIN orders AS o1 ON o1.o_orderkey = l0.l_orderkey
JOIN part AS p2 ON p2.p_partkey = l0.l_partkey
JOIN supplier AS s3 ON s3.s_suppkey = l0.l_suppkey
WHERE l0.l_quantity >= 6 AND l0.l_quantity <= 16
AND o1.o_orderstatus = 'O'
AND p2.p_size >= 15 AND p2.p_size <= 20"
q11.sql,2,9750125,0.1,partsupp|supplier|lineitem,3,28293328,error,"SELECT MIN(p0.l_quantity) AS result
FROM partsupp AS p0
JOIN supplier AS s1 ON s1.s_suppkey = p0.ps_suppkey
JOIN lineitem AS l2 ON l2.l_suppkey = s1.s_suppkey
WHERE p0.ps_availqty >= 1004 AND p0.ps_availqty <= 3011
AND s1.s_nationkey >= 12 AND s1.s_nationkey <= 17
AND l2.l_quantity >= 16 AND l2.l_quantity <= 26"
q12.sql,1,124521870,0.1,lineitem|orders,2,8a71e6e8,ok,"SELECT MIN(l0.l_quantity) AS result
FROM lineitem AS l0
JOIN orders AS o1 ON o1.o_orderkey = l0.l_orderkey
WHERE l0.l_quantity >= 31 AND l0.l_quantity <= 36
AND o1.o_orderstatus = 'P'"
q13.sql,2,16508000,0.1,orders|customer|nation,3,3e7c1e01,ok,"SELECT MIN(o0.o_orderstatus) AS result
FROM orders AS o0
JOIN customer AS c1 ON c1.c_custkey = o0.o_custkey
JOIN nation AS n2 ON n2.n_nationkey = c1.c_nationkey
WHERE o0.o_orderstatus = 'O'
AND c1.c_mktsegment = 'AUTOMOBILE'
AND n2.n_regionkey >= 0 AND n2.n_regionkey <= 1"
q14.sql,1,110621870,0.1,lineitem|part,2,5e3e435b,ok,"SELECT MIN(l0.l_quantity) AS result
FROM lineitem AS l0
JOIN part AS p1 ON p1.p_partkey = l0.l_partkey
WHERE l0.l_quantity >= 21 AND l0.l_quantity <= 26
AND p1.p_size >= 35 AND p1.p_size <= 45"
q15.sql,0,108021870,0.1,lineitem,1,0242f360,ok,"SELECT MIN(l0.l_quantity) AS result
FROM lineitem AS l0
WHERE l0.l_quantity >= 6 AND l0.l_quantity <= 16"
q16.sql,1,12200000,0.1,partsupp|part,2,8fa30bd7,error,"SELECT MIN(p0.l_quantity) AS result
FROM partsupp AS p0
JOIN part AS p1 ON p1.p_partkey = p0.ps_partkey
WHERE p0.ps_availqty >= 501 AND p0.ps_availqty <= 2003
AND p1.p_size >= 40 AND p1.p_size <= 48"
q17.sql,1,110621870,0.1,lineitem|orders,2,ee419295,ok,"SELECT MIN(l0.l_quantity) AS result
FROM lineitem AS l0
JOIN orders AS o1 ON o1.o_orderkey = l0.l_orderkey
WHERE l0.l_quantity >= 11 AND l0.l_quantity <= 16
AND o1.o_orderstatus = 'F'"
q18.sql,2,127221870,0.1,lineitem|orders|supplier,3,14a04e6d,ok,"SELECT MIN(l0.l_quantity) AS result
FROM lineitem AS l0
JOIN orders AS o1 ON o1.o_orderkey = l0.l_orderkey
JOIN supplier AS s2 ON s2.s_suppkey = l0.l_suppkey
WHERE l0.l_quantity >= 11 AND l0.l_quantity <= 21
AND o1.o_orderstatus = 'F'
AND s2.s_nationkey >= 7 AND s2.s_nationkey <= 9"
q19.sql,1,110621870,0.1,lineitem|supplier,2,acb54fe1,ok,"SELECT MIN(l0.l_quantity) AS result
FROM lineitem AS l0
JOIN supplier AS s1 ON s1.s_suppkey = l0.l_suppkey
WHERE l0.l_quantity >= 26 AND l0.l_quantity <= 36
AND s1.s_nationkey >= 9 AND s1.s_nationkey <= 14"
