query_file,join_count,bytes_read,target_tables,n_tables,query_hash,gen_status,sql
q01.sql,1,4048606,item|store_returns,2,f3bad070,ok,"SELECT DISTINCT ON(""store_returns"".""sr_returned_date_sk"") ""store_returns"".""sr_hdemo_sk"" FROM ""store_returns"" LEFT JOIN ""item"" ON ""store_returns"".""sr_item_sk"" = ""item"".""i_item_sk"" WHERE ""item"".""i_current_price"" BETWEEN 0.16 AND 99.99 AND ""store_returns"".""sr_net_loss"" BETWEEN 19.24 AND 9218.97;"
q02.sql,11,1492980,catalog_page|catalog_returns|catalog_sales|customer|customer_demographics|date_dim|household_demographics|inventory|item|store|store_sales|web_sales,12,e29a404f,ok,"SELECT DISTINCT ON(""date_dim"".""d_date_sk"") ""date_dim"".""d_holiday"" FROM ""date_dim"" LEFT JOIN ""store_sales"" ON ""date_dim"".""d_date_sk"" = ""store_sales"".""ss_sold_date_sk"" LEFT JOIN ""customer_demographics"" ON ""store_sales"".""ss_cdemo_sk"" = ""customer_demographics"".""cd_demo_sk"" LEFT JOIN ""store"" ON ""store_sales"".""ss_store_sk"" = ""store"".""s_store_sk"" LEFT JOIN ""household_demographics"" ON ""store_sales"".""ss_hdemo_sk"" = ""household_demographics"".""hd_demo_sk"" LEFT JOIN ""inventory"" ON ""date_dim"".""d_date_sk"" = ""inventory"".""inv_date_sk"" LEFT JOIN ""item"" ON ""inventory"".""inv_item_sk"" = ""item"".""i_item_sk"" LEFT JOIN ""customer"" ON ""customer_demographics"".""cd_demo_sk"" = ""customer"".""c_current_cdemo_sk"" LEFT JOIN ""catalog_returns"" ON ""customer"".""c_customer_sk"" = ""catalog_returns"".""cr_refunded_customer_sk"" LEFT JOIN ""catalog_sales"" ON ""item"".""i_item_sk"" = ""catalog_sales"".""cs_item_sk"" LEFT JOIN ""web_sales"" ON ""household_demographics"".""hd_demo_sk"" = ""web_sales"".""ws_bill_hdemo_sk"" LEFT JOIN ""catalog_page"" ON ""catalog_returns"".""cr_catalog_page_sk"" = ""catalog_page"".""cp_catalog_page_sk"" WHERE ""inventory"".""inv_quantity_on_hand"" BETWEEN 9 AND 1000 AND ""customer"".""c_first_name"" BETWEEN 'Albert' AND 'Zulma' AND ""catalog_sales"".""cs_net_paid_inc_ship_tax"" BETWEEN 25.14 AND 41670.68 AND ""store_sales"".""ss_net_paid"" BETWEEN 0.0 AND 19443.0 AND ""household_demographics"".""hd_vehicle_count"" BETWEEN -1 AND 4 AND ""catalog_returns"".""cr_returning_addr_sk"" BETWEEN 479 AND 50000 AND ""customer_demographics"".""cd_education_status"" BETWEEN '2 yr Degree' AND 'Unknown' AND ""catalog_page"".""cp_description"" BETWEEN 'Acceptable, wrong years tell still on a police. On' AND 'Youngsters must provide other, intermediate clouds. Yesterday whole cars h' AND ""web_sales"".""ws_ext_sales_price"" BETWEEN 0.36 AND 28592.19 AND ""date_dim"".""d_fy_week_seq"" BETWEEN 105 AND 10436 AND ""store"".""s_street_type"" BETWEEN 'Boulevard' AND 'Wy' AND ""item"".""i_category"" BETWEEN 'Books' AND 'Women';"
q03.sql,2,39356232,date_dim|household_demographics|store_sales,3,94912a42,ok,"SELECT DISTINCT ON(""date_dim"".""d_date_sk"") ""date_dim"".""d_dom"" FROM ""date_dim"" LEFT JOIN ""store_sales"" ON ""date_dim"".""d_date_sk"" = ""store_sales"".""ss_sold_date_sk"" LEFT JOIN ""household_demographics"" ON ""store_sales"".""ss_hdemo_sk"" = ""household_demographics"".""hd_demo_sk"" WHERE ""household_demographics"".""hd_vehicle_count"" BETWEEN -1 AND 4 AND ""date_dim"".""d_date_id"" BETWEEN 'AAAAAAAAACIOFCAA' AND 'AAAAAAAAPPPPECAA' AND ""store_sales"".""ss_net_profit"" BETWEEN -6524.02 AND 9407.0;"
q04.sql,2,40506232,customer|customer_demographics|store_returns,3,79640243,ok,"SELECT DISTINCT ON(""customer"".""c_customer_sk"") ""customer"".""c_birth_year"" FROM ""customer"" LEFT JOIN ""customer_demographics"" ON ""customer"".""c_current_cdemo_sk"" = ""customer_demographics"".""cd_demo_sk"" LEFT JOIN ""store_returns"" ON ""customer"".""c_customer_sk"" = ""store_returns"".""sr_customer_sk"" WHERE ""store_returns"".""sr_return_quantity"" BETWEEN 1 AND 100 AND ""customer_demographics"".""cd_purchase_estimate"" BETWEEN 500 AND 10000 AND ""customer"".""c_birth_month"" BETWEEN 1 AND 12;"
q05.sql,17,11588836,catalog_page|catalog_returns|catalog_sales|customer|customer_demographics|date_dim|household_demographics|income_band|inventory|item|promotion|store|store_returns|store_sales|web_page|web_returns|web_sales|web_site,18,6b245004,ok,"SELECT DISTINCT ON(""web_sales"".""ws_sold_date_sk"") ""web_sales"".""ws_bill_cdemo_sk"" FROM ""web_sales"" LEFT JOIN ""web_site"" ON ""web_sales"".""ws_web_site_sk"" = ""web_site"".""web_site_sk"" LEFT JOIN ""customer"" ON ""web_sales"".""ws_bill_customer_sk"" = ""customer"".""c_customer_sk"" LEFT JOIN ""web_returns"" ON ""customer"".""c_customer_sk"" = ""web_returns"".""wr_refunded_customer_sk"" LEFT JOIN ""household_demographics"" ON ""web_sales"".""ws_bill_hdemo_sk"" = ""household_demographics"".""hd_demo_sk"" LEFT JOIN ""store_sales"" ON ""customer"".""c_customer_sk"" = ""store_sales"".""ss_customer_sk"" LEFT JOIN ""catalog_sales"" ON ""customer"".""c_customer_sk"" = ""catalog_sales"".""cs_bill_customer_sk"" LEFT JOIN ""item"" ON ""store_sales"".""ss_item_sk"" = ""item"".""i_item_sk"" LEFT JOIN ""catalog_returns"" ON ""customer"".""c_customer_sk"" = ""catalog_returns"".""cr_refunded_customer_sk"" LEFT JOIN ""customer_demographics"" ON ""store_sales"".""ss_cdemo_sk"" = ""customer_demographics"".""cd_demo_sk"" LEFT JOIN ""promotion"" ON ""catalog_sales"".""cs_promo_sk"" = ""promotion"".""p_promo_sk"" LEFT JOIN ""store_returns"" ON ""item"".""i_item_sk"" = ""store_returns"".""sr_item_sk"" LEFT JOIN ""inventory"" ON ""item"".""i_item_sk"" = ""inventory"".""inv_item_sk"" LEFT JOIN ""date_dim"" ON ""store_returns"".""sr_returned_date_sk"" = ""date_dim"".""d_date_sk"" LEFT JOIN ""income_band"" ON ""household_demographics"".""hd_income_band_sk"" = ""income_band"".""ib_income_band_sk"" LEFT JOIN ""store"" ON ""store_sales"".""ss_store_sk"" = ""store"".""s_store_sk"" LEFT JOIN ""web_page"" ON ""web_sales"".""ws_web_page_sk"" = ""web_page"".""wp_web_page_sk"" LEFT JOIN ""catalog_page"" ON ""catalog_returns"".""cr_catalog_page_sk"" = ""catalog_page"".""cp_catalog_page_sk"" WHERE ""inventory"".""inv_quantity_on_hand"" BETWEEN 9 AND 1000 AND ""household_demographics"".""hd_buy_potential"" BETWEEN '0-500' AND 'Unknown' AND ""date_dim"".""d_same_day_lq"" BETWEEN 2415660 AND 2487978 AND ""customer"".""c_email_address"" BETWEEN 'Albert.Pierce@99v1bsAFZbCLBZEV3.org' AND 'Zulma.Carter@MfvjVN43Udd95KeZ.com' AND ""catalog_page"".""cp_start_date_sk"" BETWEEN 2450815 AND 2453005 AND ""item"".""i_units"" BETWEEN 'Box' AND 'Unknown' AND ""catalog_sales"".""cs_list_price"" BETWEEN 3.58 AND 300.0 AND ""web_returns"".""wr_return_quantity"" BETWEEN 1 AND 100 AND ""store_returns"".""sr_return_ship_cost"" BETWEEN 0.0 AND 8710.98 AND ""promotion"".""p_item_sk"" BETWEEN 192 AND 17926 AND ""store"".""s_number_employees"" BETWEEN 219 AND 297 AND ""catalog_returns"".""cr_store_credit"" BETWEEN 0.0 AND 14796.72 AND ""web_site"".""web_rec_end_date"" BETWEEN '1999-08-16T00:00:00' AND '2001-08-15' AND ""store_sales"".""ss_ticket_number"" BETWEEN 2400 AND 240000 AND ""web_sales"".""ws_net_paid_inc_tax"" BETWEEN 0.0 AND 30821.43 AND ""web_page"".""wp_rec_start_date"" BETWEEN '1997-09-03T00:00:00' AND '2001-09-03' AND ""income_band"".""ib_upper_bound"" BETWEEN 11900 AND 200000 AND ""customer_demographics"".""cd_gender"" BETWEEN 'F' AND 'M';"
q06.sql,4,41706232,catalog_page|catalog_sales|customer_address|date_dim|household_demographics,5,511de67c,ok,"SELECT DISTINCT ON(""customer_address"".""ca_address_sk"") ""customer_address"".""ca_city"" FROM ""customer_address"" LEFT JOIN ""catalog_sales"" ON ""customer_address"".""ca_address_sk"" = ""catalog_sales"".""cs_bill_addr_sk"" LEFT JOIN ""catalog_page"" ON ""catalog_sales"".""cs_catalog_page_sk"" = ""catalog_page"".""cp_catalog_page_sk"" LEFT JOIN ""household_demographics"" ON ""catalog_sales"".""cs_bill_hdemo_sk"" = ""household_demographics"".""hd_demo_sk"" LEFT JOIN ""date_dim"" ON ""catalog_sales"".""cs_sold_date_sk"" = ""date_dim"".""d_date_sk"" WHERE ""catalog_sales"".""cs_ship_cdemo_sk"" BETWEEN 19330 AND 1920765 AND ""household_demographics"".""hd_buy_potential"" BETWEEN '0-500' AND 'Unknown' AND ""catalog_page"".""cp_start_date_sk"" BETWEEN 2450815 AND 2453005 AND ""customer_address"".""ca_gmt_offset"" BETWEEN -8.0 AND -5.0 AND ""date_dim"".""d_week_seq"" BETWEEN 105 AND 10436;"
q07.sql,4,50890032,catalog_sales|household_demographics|item|promotion|store_sales,5,5eaa05b5,ok,"SELECT DISTINCT ON(""store_sales"".""ss_sold_date_sk"") ""store_sales"".""ss_item_sk"" FROM ""store_sales"" LEFT JOIN ""household_demographics"" ON ""store_sales"".""ss_hdemo_sk"" = ""household_demographics"".""hd_demo_sk"" LEFT JOIN ""item"" ON ""store_sales"".""ss_item_sk"" = ""item"".""i_item_sk"" LEFT JOIN ""promotion"" ON ""store_sales"".""ss_promo_sk"" = ""promotion"".""p_promo_sk"" LEFT JOIN ""catalog_sales"" ON ""household_demographics"".""hd_demo_sk"" = ""catalog_sales"".""cs_bill_hdemo_sk"" WHERE ""household_demographics"".""hd_dep_count"" BETWEEN 0 AND 9 AND ""item"".""i_class"" BETWEEN 'accessories' AND 'womens watch' AND ""catalog_sales"".""cs_ext_tax"" BETWEEN 0.0 AND 2416.94 AND ""promotion"".""p_channel_event"" BETWEEN 'N' AND 'N' AND ""store_sales"".""ss_sales_price"" BETWEEN 0.01 AND 199.56;"
q08.sql,5,38906712,customer|household_demographics|income_band|promotion|store|store_sales,6,87315f19,ok,"SELECT DISTINCT ON(""store_sales"".""ss_sold_date_sk"") ""store_sales"".""ss_ticket_number"" FROM ""store_sales"" LEFT JOIN ""promotion"" ON ""store_sales"".""ss_promo_sk"" = ""promotion"".""p_promo_sk"" LEFT JOIN ""store"" ON ""store_sales"".""ss_store_sk"" = ""store"".""s_store_sk"" LEFT JOIN ""customer"" ON ""store_sales"".""ss_customer_sk"" = ""customer"".""c_customer_sk"" LEFT JOIN ""household_demographics"" ON ""store_sales"".""ss_hdemo_sk"" = ""household_demographics"".""hd_demo_sk"" LEFT JOIN ""income_band"" ON ""household_demographics"".""hd_income_band_sk"" = ""income_band"".""ib_income_band_sk"" WHERE ""customer"".""c_customer_id"" BETWEEN 'AAAAAAAAACILAAAA' AND 'AAAAAAAAPPPPAAAA' AND ""income_band"".""ib_upper_bound"" BETWEEN 11900 AND 200000 AND ""store_sales"".""ss_net_profit"" BETWEEN -6524.02 AND 9407.0 AND ""household_demographics"".""hd_buy_potential"" BETWEEN '0-500' AND 'Unknown' AND ""store"".""s_zip"" BETWEEN '31904' AND '35709' AND ""promotion"".""p_promo_id"" BETWEEN 'AAAAAAAAABBAAAAA' AND 'AAAAAAAAPPAAAAAA';"
q09.sql,0,37445252,store_sales,1,45922117,ok,"SELECT DISTINCT ON(""store_sales"".""ss_sold_date_sk"") ""store_sales"".""ss_ext_wholesale_cost"" FROM ""store_sales"" WHERE ""store_sales"".""ss_coupon_amt"" BETWEEN 0.0 AND 17588.25;"
q10.sql,2,13874800,customer|store_returns|store_sales,3,02574e51,ok,"SELECT DISTINCT ON(""customer"".""c_customer_sk"") ""customer"".""c_first_shipto_date_sk"" FROM ""customer"" LEFT JOIN ""store_returns"" ON ""customer"".""c_customer_sk"" = ""store_returns"".""sr_customer_sk"" LEFT JOIN ""store_sales"" ON ""customer"".""c_customer_sk"" = ""store_sales"".""ss_customer_sk"" WHERE ""store_returns"".""sr_net_loss"" BETWEEN 19.24 AND 9218.97 AND ""customer"".""c_last_name"" BETWEEN 'Alfred' AND 'Zuniga' AND ""store_sales"".""ss_net_paid"" BETWEEN 0.0 AND 19443.0;"
