query_file,source_join_count,source_bytes_read,relative_selectivity,target_tables,n_tables,query_hash,gen_status,sql
q01.sql,0,108021870,0.1,cast_info,1,953f7304,ok,"SELECT MIN(c0.id) AS result
FROM cast_info AS c0
WHERE c0.role_id >= 2 AND c0.role_id <= 4"
q02.sql,4,12350145,0.1,movie_keyword|title|movie_companies|company_name|aka_title,5,d16933d2,ok,"SELECT MIN(m0.id) AS result
FROM movie_keyword AS m0
JOIN title AS t1 ON t1.id = m0.movie_id
JOIN aka_title AS a4 ON a4.movie_id = t1.id
JOIN movie_companies AS m2 ON m2.movie_id = t1.id
JOIN company_name AS c3 ON c3.id = m2.company_id
WHERE m0.keyword_id >= 2935 AND m0.keyword_id <= 7670
AND t1.production_year >= 1932 AND t1.production_year <= 1978
AND c3.country_code IN ('[kn]', '[na]', '[bd]', '[uy]', '[pa]', '[et]', '[bt]', '[mu]', '[jp]', '[hk]', '[lr]', '[cshh]', '[az]', '[pe]', '[fr]', '[cy]', '[lb]', '[kg]', '[jm]', '[vi]', '[uz]', '[bz]', '[ad]', '[pg]', '[mo]', '[tn]', '[no]', '[mm]', '[by]', '[gp]')"
q03.sql,2,127221870,0.1,cast_info|char_name|role_type,3,803ec7f8,ok,"SELECT MIN(c0.id) AS result
FROM cast_info AS c0
JOIN char_name AS c1 ON c1.id = c0.person_role_id
JOIN role_type AS r2 ON r2.id = c0.role_id
WHERE c0.role_id >= 1 AND c0.role_id <= 2"
q04.sql,0,16500000,0.1,movie_info,1,a6b14e23,ok,"SELECT MIN(m0.info) AS result
FROM movie_info AS m0
WHERE m0.info_type_id >= 4 AND m0.info_type_id <= 7"
q05.sql,5,127372015,0.1,cast_info|role_type|title|movie_companies|company_name|company_type,6,cccfe483,ok,"SELECT MIN(c0.id) AS result
FROM cast_info AS c0
JOIN title AS t2 ON t2.id = c0.movie_id
JOIN role_type AS r1 ON r1.id = c0.role_id
JOIN movie_companies AS m3 ON m3.movie_id = t2.id
JOIN company_name AS c4 ON c4.id = m3.company_id
JOIN company_type AS c5 ON c5.id = m3.company_type_id
WHERE c0.role_id >= 3 AND c0.role_id <= 4
AND t2.production_year >= 2008 AND t2.production_year <= 2010
AND c4.country_code IN ('[bm]', '[ph]', '[dk]', '[rs]', '[tg]', '[kh]', '[cy]', '[gt]', '[bg]', '[im]', '[do]', '[kn]', '[ne]', '[de]', '[mc]', '[tn]', '[tk]', '[pg]', '[sj]', '[kw]', '[qa]', '[no]', '[mh]', '[bb]', '[cshh]', '[gl]', '[ag]', '[sz]', '[pa]', '[ps]')"
q06.sql,0,108021870,0.1,cast_info,1,a4ab30fd,ok,"SELECT MIN(c0.id) AS result
FROM cast_info AS c0
WHERE c0.role_id >= 2 AND c0.role_id <= 3"
q07.sql,8,127245995,0.1,cast_info|name|person_info|info_type|movie_info_idx|title|movie_info|role_type|char_name,9,e9e3de20,ok,"SELECT MIN(c0.id) AS result
FROM cast_info AS c0
JOIN title AS t5 ON t5.id = c0.movie_id
JOIN name AS n1 ON n1.id = c0.person_id
JOIN char_name AS c8 ON c8.id = c0.person_role_id
JOIN role_type AS r7 ON r7.id = c0.role_id
JOIN movie_info AS m6 ON m6.movie_id = t5.id
JOIN movie_info_idx AS m4 ON m4.movie_id = t5.id
JOIN person_info AS p2 ON p2.person_id = n1.id
JOIN info_type AS i3 ON i3.id = m6.info_type_id
WHERE c0.role_id >= 2 AND c0.role_id <= 3
AND t5.production_year >= 1999 AND t5.production_year <= 2006
AND n1.gender = 'm'"
q08.sql,9,127388015,0.1,cast_info|char_name|title|role_type|movie_info_idx|info_type|person_info|name|movie_companies|movie_info,10,0c64cc1e,ok,"SELECT MIN(c0.id) AS result
FROM cast_info AS c0
JOIN title AS t2 ON t2.id = c0.movie_id
JOIN name AS n7 ON n7.id = c0.person_id
JOIN char_name AS c1 ON c1.id = c0.person_role_id
JOIN role_type AS r3 ON r3.id = c0.role_id
JOIN movie_companies AS m8 ON m8.movie_id = t2.id
JOIN movie_info AS m9 ON m9.movie_id = t2.id
JOIN movie_info_idx AS m4 ON m4.movie_id = t2.id
JOIN person_info AS p6 ON p6.person_id = n7.id
JOIN info_type AS i5 ON i5.id = m9.info_type_id
WHERE c0.role_id >= 4 AND c0.role_id <= 8
AND t2.production_year >= 1978 AND t2.production_year <= 1992
AND n7.gender = 'm'"
q09.sql,7,134287995,0.1,cast_info|char_name|role_type|name|aka_name|person_info|info_type|movie_info,8,dd54202a,ok,"SELECT MIN(c0.id) AS result
FROM cast_info AS c0
JOIN name AS n3 ON n3.id = c0.person_id
JOIN char_name AS c1 ON c1.id = c0.person_role_id
JOIN role_type AS r2 ON r2.id = c0.role_id
JOIN aka_name AS a4 ON a4.person_id = n3.id
JOIN person_info AS p5 ON p5.person_id = n3.id
JOIN info_type AS i6 ON i6.id = p5.info_type_id
JOIN movie_info AS m7 ON m7.info_type_id = i6.id
WHERE n3.gender = 'm'
AND p5.info_type_id >= 26 AND p5.info_type_id <= 38
AND m7.info_type_id >= 16 AND m7.info_type_id <= 18"
q10.sql,3,127221995,0.1,cast_info|char_name|title|movie_keyword,4,3aface97,ok,"SELECT MIN(c0.id) AS result
FROM cast_info AS c0
JOIN title AS t2 ON t2.id = c0.movie_id
JOIN char_name AS c1 ON c1.id = c0.person_role_id
JOIN movie_keyword AS m3 ON m3.movie_id = t2.id
WHERE c0.role_id >= 4 AND c0.role_id <= 10
AND t2.production_year >= 2006 AND t2.production_year <= 2010
AND m3.keyword_id >= 1768 AND m3.keyword_id <= 2935"
