query_id,query_hash,num_permanent_tables_accessed,read_table_ids,num_joins,mbytes_scanned,execution_duration_ms,rows_returned,status,error_msg
10a.sql,eb0b0a93,7,"1,5,7,8,12,18,21",6,302.432,211.47,1,ok,
10b.sql,3c53ed8d,7,"1,5,7,8,12,18,21",6,302.432,80.06,1,ok,
10c.sql,78a61b9f,7,"1,5,7,8,12,18,21",6,302.432,255.32,1,ok,
11a.sql,766ea53f,8,"3,7,8,12,14,15,17,21",7,68.328,38.87,1,ok,
11b.sql,5b9d12db,8,"3,7,8,12,14,15,17,21",7,68.328,29.85,1,ok,
11c.sql,348c481b,8,"3,7,8,12,14,15,17,21",7,68.328,298.08,1,ok,
11d.sql,2716323c,8,"3,7,8,12,14,15,17,21",7,68.328,805.33,1,ok,
12a.sql,99f662e1,7,"2,7,8,9,12,16,21",7,361.318,89.8,1,ok,
12b.sql,7537d82e,7,"2,7,8,9,12,16,21",7,361.318,106.31,1,ok,
12c.sql,5513caec,7,"2,7,8,9,12,16,21",7,361.318,96.27,1,ok,
13a.sql,83d370e0,8,"2,7,8,9,12,16,19,21",8,361.318,69.43,1,ok,
13b.sql,58c0c873,8,"2,7,8,9,12,16,19,21",8,361.318,140.65,1,ok,
13c.sql,ef2a4338,8,"2,7,8,9,12,16,19,21",8,361.318,118.5,1,ok,
13d.sql,e9f11c44,8,"2,7,8,9,12,16,19,21",8,361.318,165.02,1,ok,
14a.sql,69fdba0a,7,"2,3,8,9,14,16,19",7,352.74,171.89,1,ok,
14b.sql,c68a8f1a,7,"2,3,8,9,14,16,19",7,352.74,66.66,1,ok,
14c.sql,b83f197f,7,"2,3,8,9,14,16,19",7,352.74,176.81,1,ok,
15a.sql,f693f8a8,9,"2,3,7,8,11,12,14,16,21",8,370.345,2.63,,error,"Parser Error: syntax error at or near ""at""

LINE 3: FROM aka_title AS at,
                          ^"
15b.sql,4c97a2ac,9,"2,3,7,8,11,12,14,16,21",8,370.345,0.58,,error,"Parser Error: syntax error at or near ""at""

LINE 3: FROM aka_title AS at,
                          ^"
15c.sql,63d8d641,9,"2,3,7,8,11,12,14,16,21",8,370.345,0.54,,error,"Parser Error: syntax error at or near ""at""

LINE 3: FROM aka_title AS at,
                          ^"
15d.sql,8c68dcca,9,"2,3,7,8,11,12,14,16,21",8,370.345,0.52,,error,"Parser Error: syntax error at or near "".""

LINE 1: SELECT MIN(at.title) AS aka_title,
                     ^"
16a.sql,5489c672,8,"1,3,4,7,8,10,12,14",7,342.332,91.84,1,ok,
16b.sql,86632023,8,"1,3,4,7,8,10,12,14",7,342.332,573.77,1,ok,
