query_id,query_hash,num_permanent_tables_accessed,target_table_ids,source_num_joins,source_mbytes_scanned,relative_selectivity,gen_status
q01.sql,ea6be2bc,2,"1,6",1,4.049,0.1,ok
q02.sql,1fb57a90,8,"1,2,3,4,5,6,7,8",11,1.493,0.1,timeout
q03.sql,5876790b,3,"2,5,7",2,39.356,0.1,ok
q04.sql,d2d7ddb8,3,"1,2,6",2,40.506,0.1,ok
q05.sql,462bc7f6,8,"1,2,3,4,5,6,7,8",17,11.589,0.1,ok
q06.sql,664c589f,5,"2,5,6,7,8",4,41.706,0.1,ok
q07.sql,dbda2d90,5,"1,2,4,5,6",4,50.89,0.1,ok
q08.sql,6503bd86,6,"1,2,3,4,6,7",5,38.907,0.1,ok
q09.sql,7f9e374e,1,2,0,37.445,0.1,ok
q10.sql,eed94862,3,"1,3,4",2,13.875,0.1,error
q11.sql,10488b15,3,"1,2,5",2,40.506,0.1,ok
q12.sql,d228b938,3,"1,2,5",2,11.982,0.1,ok
q13.sql,27578a41,6,"2,3,5,6,7,8",5,51.21,0.1,ok
q14.sql,7fdab70a,6,"1,2,5,6,7,8",5,1.919,0.1,timeout
q15.sql,22c7b74a,4,"1,2,4,5",3,23.993,0.1,ok
q16.sql,d1a927a8,4,"3,4,6,7",3,22.401,0.1,ok
q17.sql,1bb39a17,8,"1,2,3,4,5,6,7,8",7,62.126,0.1,ok
q18.sql,78d700ec,7,"1,2,3,4,5,6,7",6,35.967,0.1,error
q19.sql,c0b29748,6,"1,2,5,6,7,8",5,41.707,0.1,ok
q20.sql,f76a3422,3,"1,2,4",2,22.093,0.1,ok
q21.sql,fb2f9a2a,7,"1,2,4,5,6,7,8",6,1.927,0.1,timeout
q22.sql,049fac92,3,"1,2,5",2,37.146,0.1,ok
q23.sql,a024bc28,6,"1,2,3,4,6,7",5,38.906,0.1,ok
q24.sql,ef6f7dab,6,"1,2,4,5,6,7",5,42.833,0.1,ok
q25.sql,283712c1,8,"1,2,3,4,5,6,7,8",7,62.126,0.1,ok
q26.sql,11342f0a,5,"1,2,3,4,6",4,33.626,0.1,error
q27.sql,6e7368c9,5,"1,2,5,7,8",4,50.882,0.1,ok
q28.sql,78f5a773,3,"1,2,5",2,0.008,0.1,ok
q29.sql,508c3c47,8,"1,2,3,4,5,6,7,8",7,62.126,0.1,ok
q30.sql,af99c767,3,"6,7,8",2,2.857,0.1,ok
q31.sql,21f1721c,3,"1,2,4",2,39.656,0.1,ok
q32.sql,276247f8,3,"3,4,6",2,22.093,0.1,ok
q33.sql,9ea85241,4,"1,2,4,5",3,40.106,0.1,ok
q34.sql,df981b5f,6,"1,2,4,5,7,8",5,1.506,0.1,ok
q35.sql,0f9b6bb8,3,"3,6,7",2,13.875,0.1,error
q36.sql,8b13e3ba,4,"1,2,3,4",3,39.357,0.1,ok
q37.sql,b2e9bf02,4,"1,3,4,6",3,57.328,0.1,ok
q38.sql,fae0f953,5,"3,4,6,7,8",4,3.077,0.1,ok
q39.sql,3fabd22c,8,"1,2,3,4,5,6,7,8",8,1.951,0.1,ok
q40.sql,1a5b1fb7,2,"3,4",1,21.478,0.1,ok
q41.sql,1a0bcc40,1,8,0,0.45,0.1,ok
q42.sql,4814b4f8,3,"2,5,7",2,39.356,0.1,ok
q43.sql,3e35a762,3,"1,2,6",2,38.907,0.1,ok
